timestep,N1,N2,N3,N4
2018-01-06 21:00,0.104142539,0.401482469,0.355819545,0.575055162
2018-01-06 22:00,0.099373902,0.399818673,0.326662391,0.595556326
2018-01-06 23:00,0.098588453,0.413275691,0.289954557,0.632450652
2018-01-07 00:00,0.100682499,0.436063216,0.246708696,0.656684905
2018-01-07 01:00,0.111174454,0.47152447,0.200434005,0.686245428
2018-01-07 02:00,0.127336761,0.524574088,0.163203279,0.713719638
2018-01-07 03:00,0.142815074,0.576144911,0.132947662,0.70970702
2018-01-07 04:00,0.157781203,0.626667707,0.110507767,0.709901706
2018-01-07 05:00,0.169928685,0.682749257,0.098692401,0.69971929
2018-01-07 06:00,0.177251257,0.742496685,0.093384765,0.701821374
2018-01-07 07:00,0.183120896,0.800896519,0.098535608,0.734820168
2018-01-07 08:00,0.173776582,0.849452157,0.112795413,0.734496252
2018-01-07 09:00,0.152563783,0.885552745,0.117969596,0.720743251
2018-01-07 10:00,0.143427134,0.91136642,0.123097036,0.733239228
2018-01-07 11:00,0.170293289,0.926463815,0.144575452,0.747710302
2018-01-07 12:00,0.188865648,0.925144145,0.175139329,0.769828866
2018-01-07 13:00,0.195676839,0.904715249,0.220834761,0.790105364
2018-01-07 14:00,0.212378865,0.869472433,0.264509606,0.804051138
2018-01-07 15:00,0.234723569,0.874784453,0.289515129,0.813590732
2018-01-07 16:00,0.241281357,0.890143327,0.296529142,0.838304261
2018-01-07 17:00,0.231795517,0.917289966,0.294961444,0.877845415
2018-01-07 18:00,0.221006744,0.945184747,0.292937924,0.910702114
2018-01-07 19:00,0.214886272,0.95904688,0.289533093,0.926533493
2018-01-07 20:00,0.211313051,0.966308772,0.288654438,0.928669655
2018-01-07 21:00,0.208204627,0.962635712,0.290545621,0.921230492
2018-01-07 22:00,0.210059742,0.954321993,0.290677651,0.929875374
2018-01-07 23:00,0.200133573,0.944653132,0.282534202,0.938991286
2018-01-08 00:00,0.191282693,0.930910085,0.268204129,0.940783507
2018-01-08 01:00,0.185411145,0.898470008,0.251986785,0.940203514
2018-01-08 02:00,0.178733635,0.852642201,0.237471624,0.938516499
2018-01-08 03:00,0.181404553,0.814920252,0.214572594,0.932064938
2018-01-08 04:00,0.193035001,0.794004864,0.189603128,0.920646844
2018-01-08 05:00,0.203337962,0.761805874,0.171621225,0.90691452
2018-01-08 06:00,0.217419628,0.734421197,0.156391996,0.884701198
2018-01-08 07:00,0.235166173,0.726766609,0.143137894,0.851668315
2018-01-08 08:00,0.251724942,0.727977136,0.132733031,0.818229553
2018-01-08 09:00,0.237185255,0.720428402,0.117303883,0.780040087
2018-01-08 10:00,0.212157321,0.720279375,0.097495754,0.762612484
2018-01-08 11:00,0.192718315,0.716821493,0.083471569,0.744172075
2018-01-08 12:00,0.177837739,0.70702663,0.077168636,0.71337825
2018-01-08 13:00,0.183290132,0.694695638,0.08485703,0.675140668
2018-01-08 14:00,0.22690004,0.644423001,0.109825152,0.632982418
2018-01-08 15:00,0.275864201,0.64710156,0.147522553,0.552932151
2018-01-08 16:00,0.285455162,0.626029123,0.19192619,0.493622885
2018-01-08 17:00,0.278101008,0.558818129,0.23690459,0.457729319
2018-01-08 18:00,0.274063082,0.547725531,0.278961529,0.437132345
2018-01-08 19:00,0.277347044,0.593757906,0.320600524,0.424794901
2018-01-08 20:00,0.292910464,0.652190584,0.359652481,0.432802958
2018-01-08 21:00,0.360704742,0.753504256,0.402377037,0.461844805
2018-01-08 22:00,0.422931409,0.827542976,0.443576204,0.477055426
2018-01-08 23:00,0.424640628,0.86869406,0.489329588,0.465719178
2018-01-09 00:00,0.404689433,0.898293961,0.540978556,0.446004503
2018-01-09 01:00,0.39175876,0.917258576,0.589178844,0.418416102
2018-01-09 02:00,0.379966236,0.919534865,0.620576918,0.391738649
2018-01-09 03:00,0.339775883,0.917624821,0.647326258,0.384588667
2018-01-09 04:00,0.319039637,0.911976897,0.675310776,0.402776737
2018-01-09 05:00,0.309334568,0.903501945,0.711701468,0.430208285
2018-01-09 06:00,0.326623534,0.895268319,0.748988935,0.443770405
2018-01-09 07:00,0.334281171,0.872735774,0.777694374,0.457382672
2018-01-09 08:00,0.337629193,0.856019169,0.801504046,0.467323988
2018-01-09 09:00,0.341467161,0.839051396,0.818069796,0.468381282
2018-01-09 10:00,0.33875629,0.868223788,0.82580026,0.460244079
2018-01-09 11:00,0.305088094,0.904466607,0.838508781,0.457500101
2018-01-09 12:00,0.253433753,0.932671138,0.849848451,0.452316289
2018-01-09 13:00,0.199842051,0.949917686,0.86058063,0.438836836
2018-01-09 14:00,0.157103532,0.944875658,0.872607449,0.411562418
2018-01-09 15:00,0.133995379,0.928802593,0.865366792,0.386474103
2018-01-09 16:00,0.117918939,0.92012813,0.858280428,0.354120571
2018-01-09 17:00,0.109875688,0.912047742,0.846765479,0.310142627
2018-01-09 18:00,0.095295146,0.905545289,0.824606479,0.27670557
2018-01-09 19:00,0.084512604,0.901832938,0.795151871,0.253421805
2018-01-09 20:00,0.077194083,0.90305386,0.759202415,0.225174838
2018-01-09 21:00,0.074655548,0.897282023,0.715693562,0.195381672
2018-01-09 22:00,0.073652933,0.880650769,0.665724213,0.176743735
2018-01-09 23:00,0.068083906,0.860121886,0.630897169,0.166032487
2018-01-10 00:00,0.062012916,0.829961626,0.608848472,0.156175612
2018-01-10 01:00,0.056121946,0.808217237,0.572492142,0.146340567
2018-01-10 02:00,0.052150195,0.766303064,0.51980798,0.13149806
